Group,Files,Total Size,Wasted Space,Canonical File
Content Group 0,2,7346,3673,C:\EGOS\scripts\maintenance\..\..\docs\research\EGOS_Strategic_Analysis_Integration_Summary_Apr2025.md
Content Group 1,2,46136,23068,C:\EGOS\scripts\maintenance\..\..\docs\research\Vibe_Coding_Market_Analysis.md
Content Group 2,2,27726,13863,C:\EGOS\scripts\maintenance\..\..\docs\research\website_ux_analysis.md
Similar Content Group 3,2,14137,7068,C:\EGOS\scripts\maintenance\..\..\docs\website\DESIGN_GUIDE.md
Similar Content Group 4,3,17082,10921,C:\EGOS\scripts\maintenance\..\..\docs\standards\KOIOS_Interaction_Standards.md
Similar Content Group 5,2,6373,3164,C:\EGOS\scripts\maintenance\..\..\docs\ai_collaboration\MULTI_AGENT_WORKFLOW.md
Similar Content Group 6,2,3804,1869,C:\EGOS\scripts\maintenance\..\..\docs\website\WEBSITE_DESIGN.md
Similar Content Group 7,2,4825,2413,C:\EGOS\scripts\maintenance\..\..\docs\website\CURRENT_TASKS.md
Similar Content Group 8,2,4513,2218,C:\EGOS\scripts\maintenance\..\..\docs\website\USER_RESEARCH_PLAN.md
Similar Content Group 9,2,9089,4493,C:\EGOS\scripts\maintenance\..\..\docs\core_materials\research\AI_AGENT_CAPABILITIES_2025.md
Similar Content Group 10,2,10449,5130,C:\EGOS\scripts\maintenance\..\..\docs\core_materials\tech_radar\web_scraping_strategies.md
Similar Content Group 11,2,15199,7510,C:\EGOS\scripts\maintenance\..\..\docs\core_materials\research\CONTENT_AGGREGATOR_DEEP_DIVE.md
Similar Content Group 12,2,48580,23735,C:\EGOS\scripts\maintenance\..\..\docs\guides\MCP_CREATION_GUIDE.md
Similar Content Group 13,2,6174,3147,C:\EGOS\scripts\maintenance\..\..\docs\STRATEGIC_THINKING\products\scribe\PROJECT_SCRIBE_VISION.md
Similar Content Group 14,2,24273,11612,C:\EGOS\scripts\maintenance\..\..\docs\project\STRATEGY.md
Similar Content Group 15,2,24790,11820,C:\EGOS\scripts\maintenance\..\..\docs\guides\CRONOS_REFACTORING_EXAMPLE.md
Similar Content Group 16,2,20218,9558,C:\EGOS\scripts\maintenance\..\..\docs\governance\STRATEGY.md
Similar Content Group 17,2,16932,7886,C:\EGOS\scripts\maintenance\..\..\docs\prompts\strategic_analysis_prompt_v2.0.md
Similar Content Group 18,2,16284,7582,C:\EGOS\scripts\maintenance\..\..\docs\technical\MYCELIUM_INTEGRATION.md
Similar Content Group 19,2,13205,6045,C:\EGOS\scripts\maintenance\..\..\docs\prompts\CURSOR_QUANTUM_PROMPT.md
Similar Content Group 20,2,7304,3307,C:\EGOS\scripts\maintenance\..\..\docs\standards\KOIOS_PDD_Standard.md
