Group,File Path,Size,Last Modified,Content Hash,Status
Group 0,C:\EGOS\docs\ai_collaboration\MULTI_AGENT_WORKFLOW.md,3209,2025-05-21 00:18:51,36977400b831c478143fbe3a88b1a053,Duplicate
Group 0,C:\EGOS\docs\core_materials\ai_collaboration\MULTI_AGENT_WORKFLOW.md,3164,2025-05-21 00:40:22,365e0784a1912e735dbf14da51f19832,Duplicate
Group 0,C:\EGOS\docs\guides\MULTI_AGENT_WORKFLOW.md,4222,2025-05-21 11:09:01,89f81d9f50aef0d9d4976e9eca693bf8,Canonical
Group 0,C:\EGOS\docs\technical\ai_systems\ai_collaboration_archive\MULTI_AGENT_WORKFLOW.md,4319,2025-05-21 11:09:02,f633bde542b2a5e770d0c1a611bd92bf,Duplicate
Group 1,C:\EGOS\docs\core_materials\ai_integration\cursor_agent_mode.md,5969,2025-05-21 15:08:50,23c59ccf27eb6f5d82fe469ec6daa3b4,Canonical
Group 1,C:\EGOS\docs\technical\ai_systems\ai_integration_archive\cursor_agent_mode.md,7063,2025-05-21 15:08:52,1ba54c00b83efb87985c5aafdb0d6811,Duplicate
Group 2,C:\EGOS\docs\core_materials\ai_integration\MULTI_MODEL_INSIGHTS.md,6571,2025-05-21 00:40:22,b8267889992d1ed5fc92fbe09ef23a2a,Canonical
Group 2,C:\EGOS\docs\technical\ai_systems\ai_integration_archive\MULTI_MODEL_INSIGHTS.md,7681,2025-05-21 11:09:02,876edd3d4c3859f834bc496c4a2edb8a,Duplicate
Group 3,C:\EGOS\docs\core_materials\ARCHITECTURE.md,2147,2025-05-21 00:40:22,a1e77e2124e5854105caa002273989b5,Duplicate
Group 3,C:\EGOS\docs\project\ARCHITECTURE.md,0,2025-05-21 00:40:23,ZERO_SIZE_FILE_HASH,Canonical
Group 4,C:\EGOS\docs\core_materials\code_analysis\large_files_report.md,5790,2025-05-21 11:09:01,299acc54092e289a95f7eba6cfef1c0d,Canonical
